Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Santana de Parnaíba;Região Administrativa de São Paulo;São Paulo;42;108.813;Grande;Sim;Lei;2841;09/11/2007;Arquivo Público Municipal;Arquivo Público Municipal;Secretaria Municipal de Administração;;;;;;;Lei;2841;09/11/2007;Arquivo Público Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3;515;6,9;217;SUBIU
Santo Anastácio;Região Administrativa de Presidente Prudente;Presidente Prudente;587;20.475;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;Sim;Não;;;;;;;;;;;;;;3,2;504;5,3;399;SUBIU
Santo André;Região Administrativa de São Paulo;São Paulo;22;676.407;Grande;Sim;Decreto;16621;27/02/2015;Sistema de Arquivos;Sistema de Arquivos;Secretaria de Administração e Modernização;;;;;;;Decreto;16284;26/04/2012;Sistema de Arquivos;Museu de Santo André - Arquivo Histórico e Cultural;Secretaria de Cultura e Turismo*;Rua Senador Fláquer, 470;Centro;;(11) 4427-7297;museu@santoandre.sp.gov.br;;;;;;Sim;Decreto;16687;14/09/2015;;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade foi iniciado. O Decreto 16.687, de 14/09/2015 cria a CAGEDA - Comissão de Avaliação e gestão Documental e Arquivística da Prefeitura. A Portaria 01, de 07/01/2016 nomeia os membros da CAGEDA e do Comitê Deliberativo. O Decreto 16.621, de 27/02/2015 dispõe sobre o Sistema de Arquivos do Município de Santo André - SAMSA.;Sim;Não;Não;Não;;Sim;Decreto;16646;14/05/2015;Lei de Acesso regulamentada;Sim;Comissão Municipal de Acesso à Informação;Não há;Não há;Não há;Sim;Sim;Sim;Não determinada: Praça de Atendimento ou Postos SIM (Serviço Integrado Municipal).;6,8;87;6;323;CAIU
Santo Antônio da Alegria;Região Administrativa de Ribeirão Preto;Ribeirão Preto;330;6.304;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;25;10/05/2013;Lei de Acesso regulamentada;Sim;Autoridade Gestora Municipal;Chefe do Poder Executivo Municipal;Não há;Não há;Sim;Não;Sim;Âmbito do Setor de Contabilidade: Avenida Francisco Antônio Mafra, n.°1004 (recebe e protocoliza os pedidos).;5,7;239;9,8;9;SUBIU
Santo Antônio de Posse;Região Administrativa de Campinas;Campinas;138;20.650;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,5;484;6,7;244;SUBIU
Santo Antônio do Aracanguá;Região Administrativa de Araçatuba;Araçatuba;558;7.626;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1169;24/04/2014;Regulamenta LAI;Sim;Setor Competente.;Não há;Não há;Não há;Não;Não;Sim;Não determinada: recebe, autua e processa os pedidos.;2,9;524;5;431;SUBIU
Santo Antônio do Jardim;Região Administrativa de Campinas;São João da Boa Vista;205;5.943;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,9;524;3,4;548;SUBIU
Santo Antônio do Pinhal;Região Administrativa de São José dos Campos;Taubaté;163;6.486;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,7;350;5,1;419;SUBIU
Santo Expedito;Região Administrativa de Presidente Prudente;Presidente Prudente;600;2.803;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,5;127;9,1;29;SUBIU
Santópolis do Aguapeí;Região Administrativa de Araçatuba;Araçatuba;522;4.277;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5;322;6,9;217;SUBIU
Santos;Região Administrativa de Santos;Santos;77;419.400;Grande;Sim;Lei Complementar;196;15/12/1995;Fundação Arquivo e Memória;Fundação Arquivo e Memória de Santos;Diretamente ao Prefeito Municipal;Rua Amador Bueno, 22 (FAMS) e 61 (Arquivo);Centro;11013-150;(13) 3202-1240;sede@fundasantos.org.br;http://www.fundasantos.org.br;Lei Complementar;196;15/12/1995;Fundação Arquivo e Memória;;;;;;;;;;;;;Sim;Decreto;7024;22/01/2015;;;Sim;;;;;Meio;"A Tabela de Temporalidade foi parcialmente oficializada (somente algumas áreas). A primeira constituição de CADA é criada pelo Decreto nº 4.210, de 13/02/2004 (constitui a CCAD e as CSAs; o de nº 6.243, de 26/10/2012 parece ser o mais recente; mas é o Decreto nº 7.024, de 22/01/2015 que nomeia a atual Comissão. Uma Tabela de Temporalidade simplificada de área administrativa foi publicada pela FAMS em 01/02/2007, juntamente com um Manual de elaboação de TTDs.";Sim;Não;Não;Não;Sim;Sim;Decreto;6243;26/12/2012;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Não determinada: Poupatempo (âmbito da Controladoria Geral, da Secretaria Municipal de Finanças: desenvolve ações conjuntas com a Secretaria Municipal de Gestão): recebe, autua e processa os pedidos.;8,7;6;10;1;SUBIU
São Bento do Sapucaí;Região Administrativa de São José dos Campos;Taubaté;169;10.468;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,9;76;7;205;SUBIU
São Bernardo do Campo;Região Administrativa de São Paulo;São Paulo;22;765.463;Grande;Sim;;;;;Arquivo Central e Serviço de Microfilmagem;;Alameda Glória, 547;;;;;;;;;;;;;;;;;;;;;;Sim;Decreto;4373;16/07/1975;;;;;;;;;O Decreto 4373, de 16/07/1975 criou o GILPA - Grupo Inter setorial de Liberação de Papéis e Documentos. Posteriormente, por meio do Decreto 5.589, de 15/06/1977, houve pequenas alterações. Também há vários dispositivos para a Microfilmagem de documentos, entre os quais os Decretos 6751, de 18/02/1981, e 14.405, de 23/10/2003, e a Lei 3.836, de 08/11/1991. A Tônica de todos estes instrumentos é a da eliminação de documentos para a liberação de espaço. Há pouca ou nenhuma proteção ou descrição de documentos permanentes, que não possam ser eliminados, mesmo após a microfilmagem. Não há Lei de Arquivo, nem informações sobre a existência de Planos de Classificação e Tabelas de Temporalidade de Documentos.;Sim;Não;Não;Não;;Sim;Decreto;18882;28/04/2014;Regulamenta LAI;Sim;Secretário Municipal competente.;Comissão Mista de Reavaliação;Não há;Não há;Sim;Sim;Sim;Unidades da Divisão de Atendimento ao Cidadão: Secretaria de Administração e Modernização Administrativa.;5,7;239;7,3;160;SUBIU
São Caetano do Sul;Região Administrativa de São Paulo;São Paulo;13;149.263;Grande;Sim;Lei;3174;12/06/1991;Cria Fundação Pró-Memória;Fundação Pró-Memória de São Caetano do Sul;Fundação Pró-memória de São Caetano do Sul;Rua Maximiliano Lorenzini, 122;Fundação;;(11) 4229-1988;museu@fpm.org.br;http://www.fpm.org.br/;Lei;3174;12/06/1991;Cria Fundação Pró-Memória;Arquivo Público Municipal;Gabinete do Prefeito (art. 6º);;;;;;;Lei;5453;31/08/2016;Cria Arquivo;Sim;Lei;5453;31/08/2016;Cria Arquivo;;;;;;;;"A Lei 5.453, de 31/08/2016 cria o Arquivo e o Sistema de Arquivos do Município. Também cria a CPAD - Comissão Permanente de Avaliação de Documentos e suas atribuições (ver art. 22 a 27). A eliminação de documentos não pode ser realizada sem TTD (art.20). Anteriormente, o Decreto 2.683, de 08/10/1981 autorizou a incineração de documentos;";Sim;Não;Não;Não;Sim;Sim;Decreto;10525;05/07/2012;Regulamenta LAI;Sim;Autoridade Imediatamente superior a que exarou a decisão impugnada.;Comissão Muncipal de Julgamento de Recursos e Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Atende Fácil (Rua Major Carlo Del Prete, 651). O Setor de Protocolo e Arquivo autua e processa os pedidos. A Comissão Municipal de Avaliação e Monitoramento de Acesso à Informação encaminha os documentos solicitados ao SIC (obs.: as autarquias manterão SICs com estruturas próprias).;7,3;41;7;205;CAIU
São Carlos;Região Administrativa Central;São Carlos;255;221.950;Grande;Sim;Lei;10655;12/07/1993;Fundação Pró-Memória;Arquivo Histórico e Público - Fundação Pró-Memória de São Carlos;Depto de Educação e Cultura;Praça Antonio Prado, S/N;Centro;13560-650;(16) 3373-2709;arquivo.fpm@saocarlos.sp.gov.br;http://www.promemoria.saocarlos.sp.gov.br/;Lei;10655;12/07/1993;Fundação Pró-Memória;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,3;155;4,6;461;CAIU
São Francisco;Região Administrativa de São José do Rio Preto;Jales;623;2.793;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,1;178;6,8;229;SUBIU
São João da Boa Vista;Região Administrativa de Campinas;São João da Boa Vista;218;83.639;Médio;Sim;;;;;Arquivo Municipal de São João da Boa Vista Matildes Resende Lopes Salomão;Departamento de Cultura e Turismo (Espaço Cultural Pagu);Rua Benedito Araújo, 44;;;(19) 3631-0316;jofcann@ig.com.br, arquivo@saojoao.sp.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,1;178;7,2;172;SUBIU
São João das Duas Pontes;Região Administrativa de São José do Rio Preto;Fernandópolis;585;2.566;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,7;597;8;95;SUBIU
São João de Iracema;Região Administrativa de Araçatuba;Araçatuba;577;1.780;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;5,1;309;4,5;472;CAIU
São João do Pau d'Alho;Região Administrativa de Presidente Prudente;Dracena;664;2.103;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;2,1;576;3,1;562;SUBIU
São Joaquim da Barra;Região Administrativa de Franca;São Joaquim da Barra;399;46.512;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,6;115;6,2;298;CAIU
São José da Bela Vista;Região Administrativa de Franca;Franca;412;8.406;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Sim;Não;Não;Sim;Não;;;;;;;;;;;;;;6,7;102;4,1;500;CAIU
São José do Barreiro;Região Administrativa de São José dos Campos;Cruzeiro;267;4.077;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;42;12/09/2012;Lei de Acesso regulamentada;Sim;Autoridade máxima do órgão responsável pela resposta (Procurador, Contador, Secretário Municipal, Chefe, Diretor e outros etc....).;Procurador Jurídico da Prefeitura;Não há;Não há;Não;Sim;Sim;Não determinada: coordenado pela Procuradoria Jurídica.;2,6;551;4,6;461;SUBIU
São José do Rio Pardo;Região Administrativa de Campinas;São João da Boa Vista;257;51.900;Médio;Sim;Lei;1206;27/06/1984;Cria Arquivo Municipal;Arquivo Público e Histórico Municipal de São José do Rio Pardo;Departamento de Cultura, Esportes e Turismo - DECET;;;;;;;Lei;1206;27/06/1984;Cria Arquivo Municipal;;;;;;;;;;;;;;;;;;;;;;;;;A Lei 1.206, de 27/06/1984 cria o Arquivo Público e Histórico, mas não prevê a existência de Comissão de Avaliação ou Tabelas de Temporalidade.;Sim;Não;Não;Sim;Sim;Sim;Decreto;4119;15/05/2012;Regulamenta LAI;Sim;Autoridade hierarquicamente superior àquela que exarou a decisão impugnada.;Comissão Especial de Classificação e Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Paço Municipal junto ao Setor de Protocolo.;8,2;14;8,8;42;SUBIU
São José do Rio Preto;Região Administrativa de São José do Rio Preto;São José do Rio Preto;454;408.258;Grande;Sim;Lei;9025;18/08/2003;Arquivo Municipal;Arquivo Público Municipal;Secretaria Municipal de Cultura;Rua Jorge Tibiriçá, 4031;Santa Cruz;15014-042;(17) 3231 4726;fernandomarquesalves@yahoo.com.br;http://www.riopreto.sp.gov.br/PortalGOV/do/subportais_Show?c=61856;Lei;9025;18/08/2003;Arquivo Municipal;;;;;;;;;;;;;Sim;Lei;9025;18/08/2003;Arquivo Municipal;;;;;;;;A Lei 9.025, de 18/08/2003, em seu art. 6º prevê a criação da CCAD - Comissão Central de Avaliação de Documentos. Também há previsão de Comissões Setoriais (art. 8º).;Sim;Não;Não;Não;;Sim;Decreto;16742;18/04/2013;Regulamenta LAI;Sim;Secretário titular da Pasta responsável pela informação (ou, conforme o caso, o Presidente da Empresa Pública ou Autarquia).;Não há;Não há;Não há;Não;Não;Sim;Poupatempo (Rua Antonio de Godoy, 3033): as atribuições do SIC serão exercidas pela Secretaria de Comunicação Social.;9;5;9,3;18;SUBIU
São José dos Campos;Região Administrativa de São José dos Campos;São José dos Campos;94;629.921;Grande;Sim;Lei;4446;01/10/1993;"Criação do Arquivo Público Municipal: ""Cria o Arquivo Público do Município de São José dos Campos - A.P.M.S.J.C. e estabelece outras providências.""";Arquivo Público do Município de São José dos Campos;Fundação Cultural Cassiano Ricardo;Avenida Olivo Gomes, 100;Santana (Entrada pelo Parque da Cidade);12211-420;(12) 3924-7309/7327;arquivopublico@fccr.sp.gov.br;http://www.fccr.sp.gov.br/index.php;Lei;4446;01/10/1993;"Criação do Arquivo Público Municipal: ""Cria o Arquivo Público do Município de São José dos Campos - A.P.M.S.J.C. e estabelece outras providências.""";;;;;;;;;;;;;Sim;Lei;4438;29/09/1993;"Instituição do Sistema de Arquivos Municipal: ""Dispõe sobre a Política Municipal de Gestão de Arquivos, institui o Sistema de Arquivos do Município de São José dos Campos - S.A.M.S.J.C. e estabelece outras providências.""";;Sim;;;;;Meio e Fim;"A Lei 4.438, de 29/09/1993 criou o Sistema de Arquivos; em seu art. 10, é criado o Conselho Gestor do Sistema de Arquivos, que coordena a elaboração das TTDs (art. 10, inciso V), com o apoio dos GSAD - Grupos Setoriais de Avaliação de Documentos (Art. 12). O Arquivo Público Municipal, com características de Permanente, foi criado pela Lei 4.446, de 01/10/1993. Foram elaboradas Tabelas de Temporalidade por meio dos Decretos 10.315, de 07/08/2001, e 10.891, de 05/02/2003, este último aparentemente baseado na TTD da Prof.ª Daise Apparecida. Existem ainda outros instrumentos, como a Orientação 005/SSE/03, de 01/04/2003, sobre Documentos Escolares; e ainda, a Instrução Normativa 001/CG/2010, de 09/02/2010, com normas e procedimentos sobre Documentos Digitais.";Sim;Não;Não;Não;;Sim;Decreto;17251;21/10/2016;"Acesso à Informação no Âmbito Municipal: ""Regulamenta a Lei Federal n. 12.527, de 18 de novembro de 2011, que trata do acesso à informação, no âmbito municipal, e dá outras providências."".";Sim;Secretaria ou órgão responsável pelo fornecimento da informação que poderá exercer juízo de retratação (grau de reclamação).;Comissão Municipal de Acesso à Informação (grau de recurso).;Não há;Não há;Não;Sim;Sim;"Não determinada. De acordo com o Art.12 deste Decreto: A Prefeitura Municipal de São José dos Campos e as entidades da Administração indireta, como o Instituto de Previdência do Servidor Municipal - IPSM, Urbanizadora Municipal S.A. - Urban, Fundação Cultural Cassiano Ricardo - FCCR, e Fundação Hélio Augusto de Souza -  Fundhas, deverão disponibilizar, no mínimo, um local para atendimento ao público, com a finalidade de abrigar seu próprio Serviço de Informações ao Cidadão - SIC, o qual  terá por objetivos: I - receber e registrar pedidos de acesso à informação; II - atender, informar e orientar o público quanto ao acesso à informação. §1º O Serviço de Informação ao Cidadão será instalado em unidade física identificada, de fácil acesso e aberta ao público. §2º Onde não houver possibilidade de instalação da unidade física do Serviço de Informação ao Cidadão, deverá ser oferecido à população, no mínimo, o serviço de recebimento e registro dos pedidos de acesso à informação.";6,6;115;8,3;72;SUBIU
São Lourenço da Serra;Região Administrativa de São Paulo;São Paulo;54;13.973;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;952;30/04/2013;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou a autoridade máxima dos órgãos públicos municipais dos Poderes Executivo e Legislativo.;Não há;Não há;Sim;Sim;Sim;Não determinada: Todos os órgãos públicos municipais dos Poderes Executivo e Legislativo (registra em sistema eletrônico e protocoliza os pedidos).;4,5;375;4,6;461;SUBIU
São Luiz do Paraitinga;Região Administrativa de São José dos Campos;Taubaté;171;10.397;Pequeno 1;Sim;Lei;1108;03/11/2003;Arquivo Municipal;Arquivo Municipal;Setor de Serviços Gerais da Assessoria Administrativa;Via de Acesso João Roman, 09;Centro;12140-000;(12) 3671-1822;mayaraferreira@estadao.com.br;;Lei;1108;03/11/2003;Arquivo Municipal;;;;;;;;;;;;;;;;;;;;;;;;;A Lei 1.108, de 03/11/2003, dispõe sobre a criação do Arquivo Municipal. Porém, não estabelece a criação de CADA ou TTD. Seria regulamentada em 60 dias, mas não foram encontrados outros dispositivos sobre esta implementação.;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;3,4;489;2,8;571;CAIU
São Manuel;Região Administrativa de Sorocaba;Botucatu;258;38.342;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,4;141;4,8;446;CAIU
São Miguel Arcanjo;Região Administrativa de Sorocaba;Itapetininga;183;31.450;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,5;127;7,8;111;SUBIU
São Paulo;Região Administrativa de São Paulo;São Paulo;0;11.253.503;Metrópole;Sim;Lei;1051;17/10/1907;Cria Arquivo Municipal;Arquivo Histórico Municipal de São Paulo Washington Luiz;Secretaria Municipal de Cultura/DPH;Praça Coronel Fernando Prestes, 152;Bom Retiro;01124-060;(11) 3326-1010/3396-6000;arquivohistorico@prefeitura.sp.gov.br;http://www.arquivohistorico.sp.gov.br;Lei;1051;17/10/1907;Cria Arquivo Municipal;Arquivo Municipal de Processos;Coordenadoria de Gestão de Documentos Públicos - CGDP;Rua da Balsa, 331;Vila Arcádia;02910-000;(11) 3376-7371;maaferreira@prefeitura.sp.gov.br, simproc@prefeitura.sp.gov.br;http://www.prefeitura.sp.gov.br/cidade/secretarias/gestao/processos/documentos_publicos/;Decreto;51820;27/09/2010;Organiza Secretaria de Planejamento e Gestão;Sim;Decreto;28656;09/04/1990;Cria a CCAD;;Sim;;;;;;;Sim;Não;Não;Não;Sim;Sim;Decreto;53623;12/12/2012;Regulamenta LAI;Sim;Chefes de Gabinete dos órgãos ou entidades municipais mencionados.;Autoridade máxima dos órgãos ou entidades municipais mencionados.;Comissão Municipal de Acesso à Informação;Não há;Sim;Sim;Sim;Não determinada: Todas as secretarias, subprefeituras, autarquias, fundações públicas, empresas públicas, sociedades de economia mista e demais entidades controladas direta ou indiretamente pelo Município deverão dispor de, no mínimo, uma unidade física para atendimento ao público, com a finalidade de abrigar seu próprio Serviço de Informações ao Cidadão - SIC (o pedido apresentado em meio físico nos SICs dos órgãos será obrigatoriamente cadastrado no sistema eletrônico específico, quando então será gerado o número de protocolo e certificada a data do recebimento do pedido).;9,3;1;9,5;14;SUBIU
São Pedro;Região Administrativa de Campinas;Piracicaba;191;31.662;Pequeno 2;Sim;Lei;2616;16/11/2006;Arquivo Público;Arquivo Público Municipal de São Pedro;Gabinete do Prefeito;Rua Valentim Amaral, 748;;;(19) 0481-1235;;;Lei;2616;16/11/2006;Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,4;274;5,9;336;SUBIU
São Pedro do Turvo;Região Administrativa de Marília;Ourinhos;358;7.198;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;2187;19/09/2013;Regulamenta LAI;Sim;Dirigido ao Prefeito Municipal (autoridade que o apreciará).;Autoridade que negou o acesso;Não há;Não há;Não;Sim;Sim;Não determinada: Na estrutura administrativa da Prefeitura Municipal (subordinado à Secretaria de Administração);6,7;102;6,6;256;CAIU
São Roque;Região Administrativa de Sorocaba;Sorocaba;62;78.821;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3,6;477;6,2;298;SUBIU
São Sebastião;Região Administrativa de São José dos Campos;Caraguatatuba;197;73.942;Médio;Sim;;;;;Arquivo Central;Secretaria de Administração;Praça 2004, Sem N° 23;Centro;11600-000;(12) 3892-1497;roseress@uol.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3,9;454;4;509;SUBIU
São Sebastião da Grama;Região Administrativa de Campinas;São João da Boa Vista;253;12.099;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;190;27/06/2012;Lei de Acesso regulamentada;Sim;Chefe do Executivo;Não há;Não há;Não há;Não;Não;Sim;Não determinada.;2,4;567;6,2;298;SUBIU
São Simão;Região Administrativa de Ribeirão Preto;Ribeirão Preto;300;14.346;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,9;454;6,9;217;SUBIU
São Vicente;Região Administrativa de Santos;Santos;70;332.445;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;3520;13/07/2012;Regulamenta LAI;Sim;Autoridade Gestora Municipal (na época, o servidor Sérgio Cunha Martinez).;Prefeito;Não há;Não há;Não;Não;Sim;Atendimento provisório à rua Frei Gaspar, 384 (subordinado ao Gabinete do Prefeito).;5,2;300;5,4;387;SUBIU
Sarapuí;Região Administrativa de Sorocaba;Itapetininga;151;9.027;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,5;265;3,7;533;CAIU
Sarutaiá;Região Administrativa de Itapeva;Itapeva;349;3.622;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,8;221;7;205;SUBIU
Sebastianópolis do Sul;Região Administrativa de São José do Rio Preto;Votuporanga;520;3.031;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;1467;15/05/2013;Regulamenta LAI;Sim;Setor Competente;Não há;Não há;Não há;Não;Não;Sim;Prefeitura Municipal (rua São Sebastião, 389): a Secretaria Municipal de Administração faz a gestão dos serviços de transparência (recebe, autua e processa os pedidos).;3,2;504;6;323;SUBIU
Serra Azul;Região Administrativa de Ribeirão Preto;Ribeirão Preto;317;11.256;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,4;141;2,6;580;CAIU
Serra Negra;Região Administrativa de Campinas;Bragança Paulista;142;26.387;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;4,5;472;CAIU
